file_path,label,score,prediction
/hammer curl/hammer curl_10.mp4,5,0,"[{'score': 0.8813353180885315, 'label': 'deadlift'}, {'score': 0.09640973806381226, 'label': 'romanian deadlift'}, {'score': 0.009814239107072353, 'label': 'barbell biceps curl'}, {'score': 0.0020791967399418354, 'label': 'tricep dips'}, {'score': 0.001443428103812039, 'label': 'plank'}]"
/hammer curl/hammer curl_13.mp4,5,0.6717155575752258,"[{'score': 0.6717155575752258, 'label': 'hammer curl'}, {'score': 0.25657835602760315, 'label': 'barbell biceps curl'}, {'score': 0.056627023965120316, 'label': 'romanian deadlift'}, {'score': 0.0026734594721347094, 'label': 'lateral raise'}, {'score': 0.001967411721125245, 'label': 'push-up'}]"
/hammer curl/hammer curl_9.mp4,5,0.999406099319458,"[{'score': 0.999406099319458, 'label': 'hammer curl'}, {'score': 9.625052916817367e-05, 'label': 'incline bench press'}, {'score': 5.79260267841164e-05, 'label': 'tricep dips'}, {'score': 4.787699072039686e-05, 'label': 'bench press'}, {'score': 4.479353447095491e-05, 'label': 'leg extension'}]"
/hammer curl/hammer curl_12.mp4,5,0,"[{'score': 0.6658384203910828, 'label': 'leg extension'}, {'score': 0.3068470060825348, 'label': 'hip thrust'}, {'score': 0.015004363842308521, 'label': 'incline bench press'}, {'score': 0.002702603116631508, 'label': 'chest fly machine'}, {'score': 0.001307420083321631, 'label': 'romanian deadlift'}]"
/hammer curl/hammer curl_11.mp4,5,0.9106731414794922,"[{'score': 0.9106731414794922, 'label': 'hammer curl'}, {'score': 0.049988754093647, 'label': 'barbell biceps curl'}, {'score': 0.026601042598485947, 'label': 'tricep Pushdown'}, {'score': 0.002391065936535597, 'label': 'romanian deadlift'}, {'score': 0.0013610461028292775, 'label': 'chest fly machine'}]"
/hammer curl/2.mp4,5,0.7902407050132751,"[{'score': 0.7902407050132751, 'label': 'hammer curl'}, {'score': 0.08431201428174973, 'label': 'leg extension'}, {'score': 0.06272639334201813, 'label': 'chest fly machine'}, {'score': 0.01236799918115139, 'label': 'incline bench press'}, {'score': 0.010492281056940556, 'label': 'barbell biceps curl'}]"
/hammer curl/7.mp4,5,0.2748616933822632,"[{'score': 0.5387312769889832, 'label': 'romanian deadlift'}, {'score': 0.2748616933822632, 'label': 'hammer curl'}, {'score': 0.13610881567001343, 'label': 'tricep Pushdown'}, {'score': 0.008370848372578621, 'label': 'deadlift'}, {'score': 0.00815937202423811, 'label': 'squat'}]"
/hammer curl/6.mp4,5,0.10151541978120804,"[{'score': 0.8785025477409363, 'label': 'romanian deadlift'}, {'score': 0.10151541978120804, 'label': 'hammer curl'}, {'score': 0.005399902816861868, 'label': 'deadlift'}, {'score': 0.0022553785238415003, 'label': 'barbell biceps curl'}, {'score': 0.0019322807202115655, 'label': 'plank'}]"
/hammer curl/1.mp4,5,0,"[{'score': 0.4387449622154236, 'label': 'leg raises'}, {'score': 0.15108148753643036, 'label': 'romanian deadlift'}, {'score': 0.09485521167516708, 'label': 'hip thrust'}, {'score': 0.07463748753070831, 'label': 'tricep dips'}, {'score': 0.05650469288229942, 'label': 'russian twist'}]"
/hammer curl/hammer curl_8.mp4,5,0.9865880608558655,"[{'score': 0.9865880608558655, 'label': 'hammer curl'}, {'score': 0.004077326972037554, 'label': 'deadlift'}, {'score': 0.001880805823020637, 'label': 'shoulder press'}, {'score': 0.0013932838337495923, 'label': 'squat'}, {'score': 0.0008889637538231909, 'label': 'romanian deadlift'}]"
/hammer curl/5.mp4,5,0.9969955682754517,"[{'score': 0.9969955682754517, 'label': 'hammer curl'}, {'score': 0.0010198999661952257, 'label': 'leg extension'}, {'score': 0.0004798644222319126, 'label': 'tricep Pushdown'}, {'score': 0.00024258028133772314, 'label': 'incline bench press'}, {'score': 0.0002102302387356758, 'label': 'romanian deadlift'}]"
/hammer curl/hammer curl_6.mp4,5,0.9995105266571045,"[{'score': 0.9995105266571045, 'label': 'hammer curl'}, {'score': 7.465112867066637e-05, 'label': 'tricep Pushdown'}, {'score': 5.0403254135744646e-05, 'label': 'incline bench press'}, {'score': 3.905592893715948e-05, 'label': 'tricep dips'}, {'score': 3.63045182893984e-05, 'label': 'romanian deadlift'}]"
/hammer curl/hammer curl_14.mp4,5,0.9989020824432373,"[{'score': 0.9989020824432373, 'label': 'hammer curl'}, {'score': 0.00026071700267493725, 'label': 'tricep Pushdown'}, {'score': 0.00015651114517822862, 'label': 'shoulder press'}, {'score': 0.00012380968837533146, 'label': 'incline bench press'}, {'score': 7.983171235537156e-05, 'label': 'bench press'}]"
/hammer curl/hammer curl_3.mp4,5,0.9854407906532288,"[{'score': 0.9854407906532288, 'label': 'hammer curl'}, {'score': 0.005021512508392334, 'label': 'incline bench press'}, {'score': 0.0033495237585157156, 'label': 'chest fly machine'}, {'score': 0.001393034472130239, 'label': 'tricep dips'}, {'score': 0.000671165413223207, 'label': 'bench press'}]"
/hammer curl/hammer curl_0.mp4,5,0.0017141127027571201,"[{'score': 0.955389142036438, 'label': 'push-up'}, {'score': 0.02494620718061924, 'label': 'tricep Pushdown'}, {'score': 0.0064459373243153095, 'label': 'deadlift'}, {'score': 0.0018127263756468892, 'label': 'russian twist'}, {'score': 0.0017141127027571201, 'label': 'hammer curl'}]"
/hammer curl/hammer curl_1.mp4,5,0.8893629908561707,"[{'score': 0.8893629908561707, 'label': 'hammer curl'}, {'score': 0.10002342611551285, 'label': 'romanian deadlift'}, {'score': 0.002045155270025134, 'label': 'squat'}, {'score': 0.0017646185588091612, 'label': 'deadlift'}, {'score': 0.0007360277231782675, 'label': 'barbell biceps curl'}]"
/hammer curl/hammer curl_4.mp4,5,0.994766354560852,"[{'score': 0.994766354560852, 'label': 'hammer curl'}, {'score': 0.004236259963363409, 'label': 'tricep Pushdown'}, {'score': 0.00016859977040439844, 'label': 'lateral raise'}, {'score': 9.040647273650393e-05, 'label': 'incline bench press'}, {'score': 8.974091178970411e-05, 'label': 'bench press'}]"
/hammer curl/hammer curl_5.mp4,5,0.9985017776489258,"[{'score': 0.9985017776489258, 'label': 'hammer curl'}, {'score': 0.00026430387515574694, 'label': 'leg raises'}, {'score': 0.00026179724954999983, 'label': 'tricep Pushdown'}, {'score': 0.00015000968414824456, 'label': 'leg extension'}, {'score': 9.016349940793589e-05, 'label': 'romanian deadlift'}]"
/hammer curl/hammer curl_2.mp4,5,0.25149261951446533,"[{'score': 0.7214133739471436, 'label': 'romanian deadlift'}, {'score': 0.25149261951446533, 'label': 'hammer curl'}, {'score': 0.010038500651717186, 'label': 'deadlift'}, {'score': 0.0030577692668884993, 'label': 'tricep dips'}, {'score': 0.0020580089185386896, 'label': 'barbell biceps curl'}]"
/hammer curl/3.mp4,5,0.10201238840818405,"[{'score': 0.6011621952056885, 'label': 'romanian deadlift'}, {'score': 0.10201238840818405, 'label': 'hammer curl'}, {'score': 0.09700018167495728, 'label': 'squat'}, {'score': 0.06106662377715111, 'label': 'shoulder press'}, {'score': 0.040034618228673935, 'label': 'incline bench press'}]"
/hammer curl/hammer curl_7.mp4,5,0.9955447912216187,"[{'score': 0.9955447912216187, 'label': 'hammer curl'}, {'score': 0.0018772264011204243, 'label': 'romanian deadlift'}, {'score': 0.0005920750554651022, 'label': 'leg raises'}, {'score': 0.00044953430187888443, 'label': 'incline bench press'}, {'score': 0.00022431030811276287, 'label': 'deadlift'}]"
/bench press/incline bench press_6.mp4,1,0,"[{'score': 0.9984911680221558, 'label': 'incline bench press'}, {'score': 0.0003422767040319741, 'label': 'decline bench press'}, {'score': 0.00032727274810895324, 'label': 'shoulder press'}, {'score': 8.970856288215145e-05, 'label': 'hip thrust'}, {'score': 6.41273582004942e-05, 'label': 'plank'}]"
/bench press/bench press_12.mp4,1,0.9924598336219788,"[{'score': 0.9924598336219788, 'label': 'bench press'}, {'score': 0.004554310813546181, 'label': 'incline bench press'}, {'score': 0.001222163438796997, 'label': 'leg extension'}, {'score': 0.0002556751132942736, 'label': 'shoulder press'}, {'score': 0.00023175128444563597, 'label': 'chest fly machine'}]"
/bench press/bench press_9.mp4,1,0.5441921353340149,"[{'score': 0.5441921353340149, 'label': 'bench press'}, {'score': 0.442286878824234, 'label': 'decline bench press'}, {'score': 0.004033238627016544, 'label': 'plank'}, {'score': 0.0013418432790786028, 'label': 'incline bench press'}, {'score': 0.0012637318577617407, 'label': 'hip thrust'}]"
/bench press/bench press_19.mp4,1,0,"[{'score': 0.46204179525375366, 'label': 'hip thrust'}, {'score': 0.37387731671333313, 'label': 'tricep Pushdown'}, {'score': 0.04848666116595268, 'label': 'russian twist'}, {'score': 0.028201185166835785, 'label': 'chest fly machine'}, {'score': 0.019811324775218964, 'label': 'leg raises'}]"
/bench press/bench press_0.mp4,1,0.014909140765666962,"[{'score': 0.6466213464736938, 'label': 'incline bench press'}, {'score': 0.29497742652893066, 'label': 'decline bench press'}, {'score': 0.022532692179083824, 'label': 'shoulder press'}, {'score': 0.014909140765666962, 'label': 'bench press'}, {'score': 0.007379310205578804, 'label': 'leg extension'}]"
/bench press/bench press_11.mp4,1,0.9995014667510986,"[{'score': 0.9995014667510986, 'label': 'bench press'}, {'score': 6.589066470041871e-05, 'label': 'decline bench press'}, {'score': 4.508105121203698e-05, 'label': 'leg extension'}, {'score': 3.867812847602181e-05, 'label': 'barbell biceps curl'}, {'score': 3.2305510103469715e-05, 'label': 'deadlift'}]"
/bench press/bench press_15.mp4,1,0,"[{'score': 0.993019163608551, 'label': 'hip thrust'}, {'score': 0.002351220464333892, 'label': 'lateral raise'}, {'score': 0.0015780123649165034, 'label': 'incline bench press'}, {'score': 0.0005965058808214962, 'label': 'tricep Pushdown'}, {'score': 0.000543082831427455, 'label': 'chest fly machine'}]"
/bench press/incline bench press_8.mp4,1,0.981476366519928,"[{'score': 0.981476366519928, 'label': 'bench press'}, {'score': 0.009797181934118271, 'label': 'incline bench press'}, {'score': 0.006150840315967798, 'label': 'decline bench press'}, {'score': 0.0006728808511979878, 'label': 'shoulder press'}, {'score': 0.00022605006233789027, 'label': 'lateral raise'}]"
/bench press/bench press_10.mp4,1,0,"[{'score': 0.9990106821060181, 'label': 'tricep Pushdown'}, {'score': 0.00014598727284464985, 'label': 'barbell biceps curl'}, {'score': 0.00012139888713136315, 'label': 'lateral raise'}, {'score': 8.812092710286379e-05, 'label': 'plank'}, {'score': 7.613281923113391e-05, 'label': 'lat pulldown'}]"
/bench press/bench press_7.mp4,1,0.9691877961158752,"[{'score': 0.9691877961158752, 'label': 'bench press'}, {'score': 0.01226641796529293, 'label': 'hip thrust'}, {'score': 0.00358014483936131, 'label': 'incline bench press'}, {'score': 0.00320554431527853, 'label': 'leg extension'}, {'score': 0.0028769327327609062, 'label': 'chest fly machine'}]"
/bench press/bench press_6.mp4,1,0.9783178567886353,"[{'score': 0.9783178567886353, 'label': 'bench press'}, {'score': 0.01889868825674057, 'label': 'decline bench press'}, {'score': 0.0006518657901324332, 'label': 'incline bench press'}, {'score': 0.00044920737855136395, 'label': 'leg extension'}, {'score': 0.0002221521717729047, 'label': 'hammer curl'}]"
/bench press/bench press_2.mp4,1,0.0002207020588684827,"[{'score': 0.9982596039772034, 'label': 'hammer curl'}, {'score': 0.0004371866525616497, 'label': 'leg extension'}, {'score': 0.0002207020588684827, 'label': 'bench press'}, {'score': 0.000196253604372032, 'label': 'shoulder press'}, {'score': 0.00011409204307710752, 'label': 'leg raises'}]"
/bench press/bench press_18.mp4,1,0.9985332489013672,"[{'score': 0.9985332489013672, 'label': 'bench press'}, {'score': 0.0002618776634335518, 'label': 'chest fly machine'}, {'score': 0.00024361519899684936, 'label': 'shoulder press'}, {'score': 0.0001357053406536579, 'label': 'incline bench press'}, {'score': 0.00011884626292157918, 'label': 'barbell biceps curl'}]"
/bench press/bench press_16.mp4,1,0.9940470457077026,"[{'score': 0.9940470457077026, 'label': 'bench press'}, {'score': 0.004797746427357197, 'label': 'decline bench press'}, {'score': 0.00011284810898359865, 'label': 'russian twist'}, {'score': 9.940393647411838e-05, 'label': 'squat'}, {'score': 8.91023883013986e-05, 'label': 'deadlift'}]"
/bench press/bench press_5.mp4,1,0,"[{'score': 0.497742235660553, 'label': 'leg extension'}, {'score': 0.23360362648963928, 'label': 'hip thrust'}, {'score': 0.12649357318878174, 'label': 'lateral raise'}, {'score': 0.07133262604475021, 'label': 'incline bench press'}, {'score': 0.019442342221736908, 'label': 'chest fly machine'}]"
/bench press/bench press_1.mp4,1,0.9940902590751648,"[{'score': 0.9940902590751648, 'label': 'bench press'}, {'score': 0.0016310052014887333, 'label': 'incline bench press'}, {'score': 0.001434167381376028, 'label': 'decline bench press'}, {'score': 0.0012659168569371104, 'label': 'leg extension'}, {'score': 0.00030459099798463285, 'label': 'leg raises'}]"
