folder,file_name,bad_sample,start_s,end_s,start_s2,end_s2,start_s3,end_s3
barbell biceps curl,barbell biceps curl_0.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
barbell biceps curl,barbell biceps curl_1.mp4,2,40,110,-9999,-9999,-9999,-9999
barbell biceps curl,barbell biceps curl_10.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
barbell biceps curl,barbell biceps curl_11.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
barbell biceps curl,barbell biceps curl_12.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
barbell biceps curl,barbell biceps curl_13.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
barbell biceps curl,barbell biceps curl_14.mp4,2,57,72,-9999,-9999,-9999,-9999
barbell biceps curl,barbell biceps curl_15.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
barbell biceps curl,barbell biceps curl_16.mp4,2,42,79,-9999,-9999,-9999,-9999
barbell biceps curl,barbell biceps curl_17.mp4,2,14,42,-9999,-9999,-9999,-9999
barbell biceps curl,barbell biceps curl_18.mp4,2,0,17,23,32,42,59
barbell biceps curl,barbell biceps curl_19.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
barbell biceps curl,barbell biceps curl_2.mp4,2,30,35,45,99,-9999,-9999
barbell biceps curl,barbell biceps curl_3.mp4,2,10,40,-9999,-9999,-9999,-9999
barbell biceps curl,barbell biceps curl_4.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
barbell biceps curl,barbell biceps curl_5.mp4,2,3,12,-9999,-9999,-9999,-9999
barbell biceps curl,barbell biceps curl_6.mp4,2,45,75,-9999,-9999,-9999,-9999
barbell biceps curl,barbell biceps curl_7.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
barbell biceps curl,barbell biceps curl_8.mp4,2,3,13,-9999,-9999,-9999,-9999
barbell biceps curl,barbell biceps curl_9.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
bench press,bench press_0.mp4,2,34,55,-9999,-9999,-9999,-9999
bench press,bench press_1.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
bench press,bench press_10.mp4,2,4,10,40,56,-9999,-9999
bench press,bench press_11.mp4,2,9,37,60,81,90,105
bench press,bench press_12.mp4,2,10,35,-9999,-9999,-9999,-9999
bench press,bench press_13.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
bench press,bench press_14.mp4,2,18,22,29,34,-9999,-9999
bench press,bench press_15.mp4,2,3,14,-9999,-9999,-9999,-9999
bench press,bench press_16.mp4,2,16,50,-9999,-9999,-9999,-9999
bench press,bench press_17.mp4,1,-9999,-9999,-9999,-9999,-9999,-9999
bench press,bench press_18.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
bench press,bench press_19.mp4,2,4,8,-9999,-9999,-9999,-9999
bench press,bench press_2.mp4,2,4,39,41,58,-9999,-9999
bench press,bench press_20.mp4,2,125,164,-9999,-9999,-9999,-9999
bench press,bench press_21.mp4,2,40,56,-9999,-9999,-9999,-9999
bench press,bench press_3.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
bench press,bench press_4.mp4,2,0,29,-9999,-9999,-9999,-9999
bench press,bench press_5.mp4,2,2,24,-9999,-9999,-9999,-9999
bench press,bench press_6.mp4,2,15,32,-9999,-9999,-9999,-9999
bench press,bench press_7.mp4,2,8,15,-9999,-9999,-9999,-9999
bench press,bench press_8.mp4,2,27,53,-9999,-9999,-9999,-9999
bench press,bench press_9.mp4,2,35,49,-9999,-9999,-9999,-9999
chest fly machine,chest fly machine_0.mp4,2,0,6,21,27,37,53
chest fly machine,chest fly machine_1.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
chest fly machine,chest fly machine_10.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
chest fly machine,chest fly machine_11.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
chest fly machine,chest fly machine_12.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
chest fly machine,chest fly machine_13.mp4,2,113,165,-9999,-9999,-9999,-9999
chest fly machine,chest fly machine_14.mp4,2,22,42,-9999,-9999,-9999,-9999
chest fly machine,chest fly machine_15.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
chest fly machine,chest fly machine_16.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
chest fly machine,chest fly machine_17.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
chest fly machine,chest fly machine_18.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
chest fly machine,chest fly machine_19.mp4,2,38,70,-9999,-9999,-9999,-9999
chest fly machine,chest fly machine_2.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
chest fly machine,chest fly machine_3.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
chest fly machine,chest fly machine_4.mp4,2,17,27,-9999,-9999,-9999,-9999
chest fly machine,chest fly machine_5.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
chest fly machine,chest fly machine_6.mp4,2,43,72,-9999,-9999,-9999,-9999
chest fly machine,chest fly machine_7.mp4,2,60,70,90,112,144,155
chest fly machine,chest fly machine_8.mp4,2,10,22,-9999,-9999,-9999,-9999
chest fly machine,chest fly machine_9.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
deadlift,deadlift_0.mp4,2,24,48,-9999,-9999,-9999,-9999
deadlift,deadlift_1.mp4,2,41,56,-9999,-9999,-9999,-9999
deadlift,deadlift_10.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
deadlift,deadlift_11.mp4,2,0,7,-9999,-9999,-9999,-9999
deadlift,deadlift_12.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
deadlift,deadlift_13.mp4,2,10,13,-9999,-9999,-9999,-9999
deadlift,deadlift_14.mp4,2,0,8,-9999,-9999,-9999,-9999
deadlift,deadlift_15.mp4,2,0,29,-9999,-9999,-9999,-9999
deadlift,deadlift_16.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
deadlift,deadlift_17.mp4,2,35,56,-9999,-9999,-9999,-9999
deadlift,deadlift_18.mp4,2,44,58,63,94,-9999,-9999
deadlift,deadlift_19.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
deadlift,deadlift_2.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
deadlift,deadlift_20.mp4,1,-9999,-9999,-9999,-9999,-9999,-9999
deadlift,deadlift_21.mp4,2,0,6,20,39,-9999,-9999
deadlift,deadlift_22.mp4,2,0,4,20,58,-9999,-9999
deadlift,deadlift_23.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
deadlift,deadlift_24.mp4,2,0,5,29,55,-9999,-9999
deadlift,deadlift_25.mp4,2,21,35,60,87,-9999,-9999
deadlift,deadlift_3.mp4,2,44,71,-9999,-9999,-9999,-9999
deadlift,deadlift_4.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
deadlift,deadlift_5.mp4,2,27,35,-9999,-9999,-9999,-9999
deadlift,deadlift_6.mp4,2,0,3,12,18,-9999,-9999
deadlift,deadlift_7.mp4,2,16,45,-9999,-9999,-9999,-9999
deadlift,deadlift_8.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
deadlift,deadlift_9.mp4,1,-9999,-9999,-9999,-9999,-9999,-9999
hammer curl,Hammer curl_0.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hammer curl,Hammer curl_1.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hammer curl,Hammer curl_10.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hammer curl,Hammer curl_11.mp4,2,5,29,-9999,-9999,-9999,-9999
hammer curl,Hammer curl_12.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
